Отметка времени,Пол:,Ваш возраст:,К какой социальной группе Вы себя относите?,Я часто курю,Я часто употребляю алкоголь,Я часто играю в компьютерные игры ,У меня есть пищевая зависимость,Я зависим(-а) от интернета,У меня много зависимостей ,"Когда я играю за компьютером, то теряю чувство времени",Я считаю алкоголь лучшим способом справиться со стрессом,"Я продолжаю есть, даже если испытываю чувство сытости",Для меня самый простой и лучший способ расслабиться - это курение,Я сильно раздражаюсь из-за отсутствия интернета,Мне тяжело бороться со своими вредными привычками ,Я провожу за телефоном больше 5 часов в день,"На любом мероприятии (праздник, встреча с друзьями и т.д.) должен быть алкоголь","Я часто заедаю стресс, скуку","Компьютерные игры более интересны, чем реальная жизнь",Я ежедневно курю,Глупо пытаться показать свою силу воли и отказываться от различных радостей жизни,Укажите свой возраст:
14.05.2023 20:09:49,Женский,,Студент,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),18
14.05.2023 20:12:09,Мужской,,Студент,Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,18
14.05.2023 20:20:34,Женский,,Студент,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Нейтрально,21
14.05.2023 20:25:20,Женский,,Студент,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),18
14.05.2023 20:25:55,Женский,,Студент,Полностью согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),20
14.05.2023 20:29:55,Мужской,,Студент,Полностью согласен(-а),Согласен(-а),Полностью согласен(-а),Согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью согласен(-а),Согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Не согласен(-а),Полностью согласен(-а),Нейтрально,Не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),20
14.05.2023 20:47:15,Мужской,,Студент,Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Полностью согласен(-а),Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),24
14.05.2023 21:09:05,Женский,,Студент,Полностью согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Согласен(-а),Полностью согласен(-а),Нейтрально,Полностью согласен(-а),Согласен(-а),Полностью согласен(-а),Не согласен(-а),18
14.05.2023 21:22:40,Мужской,,Студент,Полностью согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),18
14.05.2023 21:45:37,Мужской,,Студент,Согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Согласен(-а),19
14.05.2023 22:32:21,Женский,,Студент,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),21
14.05.2023 22:52:52,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),48
14.05.2023 23:07:23,Женский,,Безработный,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,38
14.05.2023 23:14:27,Мужской,,Работник,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),50
14.05.2023 23:21:57,Мужской,,Безработный,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),28
14.05.2023 23:47:29,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),20
14.05.2023 23:56:28,Женский,,Студент,Согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Согласен(-а),Полностью согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),19
15.05.2023 0:39:15,Мужской,,Работник,Нейтрально,Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),57
15.05.2023 0:41:43,Мужской,,Работник,Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),57
15.05.2023 1:05:28,Женский,,Студент,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),22
15.05.2023 2:07:01,Мужской,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),25
15.05.2023 5:54:18,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),48
15.05.2023 6:39:28,Женский,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),42
15.05.2023 6:50:35,Женский,,Работник,Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,48
15.05.2023 6:50:46,Мужской,,Работник,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,47
15.05.2023 6:56:15,Женский,,Работник,Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Полностью согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),24
15.05.2023 7:14:33,Женский,,Работник,Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),48
15.05.2023 7:40:25,Женский,,Безработный,Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Нейтрально,Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью согласен(-а),47
15.05.2023 8:28:48,Мужской,,Работник,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),47
15.05.2023 8:32:29,Женский,,Работник,Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),48 лет
15.05.2023 8:38:11,Женский,,Работник,Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,47
15.05.2023 9:00:12,Женский,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Полностью не согласен(-а),Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),47 лет
15.05.2023 9:00:25,Женский,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),32
15.05.2023 9:00:25,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),44
15.05.2023 9:09:11,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),40
15.05.2023 9:17:31,Женский,,Работник,Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,53
15.05.2023 10:28:41,Мужской,,Работник,Согласен(-а),Согласен(-а),Согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,47
15.05.2023 10:32:57,Мужской,,Работник,Согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Полностью согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Не согласен(-а),37
15.05.2023 10:34:56,Мужской,,Работник,Полностью не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,45
15.05.2023 10:40:30,Мужской,,Школьник,Не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Полностью согласен(-а),Согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Полностью не согласен(-а),Согласен(-а),11
15.05.2023 10:42:18,Мужской,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),44
15.05.2023 10:46:29,Мужской,,Школьник,Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,12
15.05.2023 10:47:43,Мужской,,Школьник,Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),14
15.05.2023 10:48:58,Мужской,,Работник,Согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,42
15.05.2023 10:53:16,Мужской,,Школьник,Не согласен(-а),Не согласен(-а),Согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Нейтрально,12
15.05.2023 10:56:39,Мужской,,Работник,Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),45
15.05.2023 11:02:37,Женский,,Работник,Полностью не согласен(-а),Нейтрально,Нейтрально,Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),47
15.05.2023 11:04:49,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),20
15.05.2023 11:08:11,Женский,,Пенсионер,Нейтрально,Нейтрально,Не согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Согласен(-а),59
15.05.2023 11:15:11,Женский,,Работник,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),53
15.05.2023 11:20:18,Женский,,Пенсионер,Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),70
15.05.2023 11:22:32,Женский,,Школьник,Полностью согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Нейтрально,Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью согласен(-а),Нейтрально,17
15.05.2023 11:23:35,Мужской,,Пенсионер,Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Согласен(-а),70
15.05.2023 11:27:17,Женский,,Студент,Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Полностью не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Согласен(-а),Нейтрально,Полностью согласен(-а),Нейтрально,Не согласен(-а),Полностью не согласен(-а),Полностью согласен(-а),Полностью не согласен(-а),17
15.05.2023 11:29:46,Мужской,,Работник,Согласен(-а),Согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Нейтрально,Нейтрально,Согласен(-а),Нейтрально,Нейтрально,Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Нейтрально,19
15.05.2023 11:31:34,Женский,,Работник,Полностью не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Не согласен(-а),Согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Нейтрально,Не согласен(-а),Согласен(-а),Не согласен(-а),Не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),Полностью не согласен(-а),23
15.05.2023 11:32:26,Женский,,Пенсионер,Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Полностью согласен(-а),Не согласен(-а),Нейтрально,Не согласен(-а),Нейтрально,Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),Не согласен(-а),70 лет
